Name,half_life,SMILES
Lansoprazole,1.25,CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1
Droperidol,2.2,FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12
Loratadine,10,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2
Cefalotin,0.5,[H][C@@]1(NC(=O)CC2=CC=CS2)C(=O)N2C(C(O)=O)=C(COC(C)=O)CS[C@]12[H]
Prazosin,2.5,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1=CC=CO1
Imipramine,12,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12
Verteporfin,5.5,COC(=O)CCC1=C2NC(\C=C3/N=C(/C=C4\N\C(=C/C5=N/C(=C\2)/C(CCC(O)=O)=C5C)C(C=C)=C4C)C2=CC=C([C@@H](C(=O)OC)[C@@]32C)C(=O)OC)=C1C
Nabumetone,24,COC1=CC2=C(C=C1)C=C(CCC(C)=O)C=C2
Ketorolac,3.75,OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1
Enoxacin,4.5,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N=C12)N1CCNCC1
Quinine,18,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12
Dronabinol,4,[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=C2C(O)=CC(CCCCC)=C1
Montelukast,4.1,OC(=O)CC1(CC1)CS[C@H](CCC1=CC=CC=C1C(O)(C)C)C1=CC=CC(\C=C\C2=NC3=C(C=CC(Cl)=C3)C=C2)=C1
Fluoxetine,48.0,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1
Hexylcaine,0.17,CC(CNC1CCCCC1)OC(=O)C1=CC=CC=C1
Methohexital,0.1,CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O
Duloxetine,12,CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1
Chlorpromazine,30,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2
Rimantadine,27.5,CC(N)C12CC3CC(CC(C3)C1)C2
Amikacin,2.5,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
Lenalidomide,3,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O
Raloxifene,29.5,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2
Brimonidine,3,BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12
Nabilone,2,[H][C@@]12CC(=O)CC[C@@]1([H])C(C)(C)OC1=CC(=CC(O)=C21)C(C)(C)CCCCCC
Altretamine,7.449999999999999,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
Sotalol,15.0,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1
Buspirone,2.5,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1
Fosinopril,12,CCC(=O)O[C@@H](OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N1C[C@@H](C[C@H]1C(O)=O)C1CCCCC1)C(C)C
Cefotaxime,1,[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O
Entacapone,0.55,CCN(CC)C(=O)C(=C\C1=CC(=C(O)C(O)=C1)[N+]([O-])=O)\C#N
Zidovudine,1.1,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O
Darifenacin,16.0,NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1
Oxycodone,3.2,COC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5C
Phenindione,7.5,O=C1C(C(=O)C2=CC=CC=C12)C1=CC=CC=C1
Tolmetin,2,CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1
Cimetidine,2,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N
Haloperidol,20.7,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
Levallorphan,1,[H][C@@]12CCCC[C@@]11CCN(CC=C)[C@@H]2CC2=C1C=C(O)C=C2
Vancomycin,6,CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)C2=CC=C(OC3=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@H]4C[C@](C)(N)[C@H](O)[C@H](C)O4)C4=CC(=C3)[C@@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N[C@@H]1C3=CC(=C(O)C=C3)C3=C(O)C=C(O)C=C3[C@H](NC(=O)[C@@H](NC1=O)[C@H](O)C1=CC(Cl)=C(O4)C=C1)C(O)=O)C(Cl)=C2
Aminocaproic_acid,2,NCCCCCC(O)=O
Dextromethorphan,16.5,[H][C@]12CCCC[C@]11CCN(C)[C@H]2CC2=C1C=C(OC)C=C2
Cisplatin,0.5,[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]
Albendazole,10.0,CCCSC1=CC2=C(C=C1)N=C(NC(=O)OC)N2
Trandolapril,6,[H][C@@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC3=CC=CC=C3)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O
Metolazone,14,CC1NC2=CC(Cl)=C(C=C2C(=O)N1C1=CC=CC=C1C)S(N)(=O)=O
Oxaliplatin,0.43,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1
Erlotinib,36.2,COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC(=CC=C1)C#C)=NC=N2
Cyclophosphamide,7.5,ClCCN(CCCl)P1(=O)NCCCO1
Mephenytoin,7,CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1
Cefdinir,1.7,[H][C@]12SCC(C=C)=C(N1C(=O)[C@H]2NC(=O)C(=N/O)\C1=CSC(N)=N1)C(O)=O
Guanidine,7.5,NC(N)=N
Ciprofloxacin,4,OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O
Gadoversetamide,1.72,COCCNC(=O)CN(CCN(CCN(CC([O-])=O)CC(=O)NCCOC)CC([O-])=O)CC([O-])=O
Toremifene,120,CN(C)CCOC1=CC=C(C=C1)C(=C(\CCCl)C1=CC=CC=C1)\C1=CC=CC=C1
Nortriptyline,26,CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12
Vincristine,85,[H][C@@]12N3CC[C@@]11C4=C(C=C(OC)C(=C4)[C@]4(C[C@H]5C[N@](C[C@](O)(CC)C5)CCC5=C4NC4=CC=CC=C54)C(=O)OC)N(C=O)[C@@]1([H])[C@](O)([C@H](OC(C)=O)[C@]2(CC)C=CC3)C(=O)OC
Benazepril,2.7,[H][C@@]1(CCC2=CC=CC=C2N(CC(O)=O)C1=O)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
Amoxapine,8,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1
Pyridostigmine,1.12,CN(C)C(=O)OC1=C[N+](C)=CC=C1
Adinazolam,3,CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
Zafirlukast,10,COC1=CC(=CC=C1CC1=CN(C)C2=C1C=C(NC(=O)OC1CCCC1)C=C2)C(=O)NS(=O)(=O)C1=CC=CC=C1C
Propylthiouracil,2,CCCC1=CC(=O)NC(=S)N1
Acetohydroxamic_acid,7.5,CC(=O)NO
Pentostatin,5.7,OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC[C@H]2O
Methoxsalen,2,COC1=C2OC(=O)C=CC2=CC2=C1OC=C2
Lamotrigine,30.1,NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1
Perflutren,0.032,FC(F)(F)C(F)(F)C(F)(F)F
Zanamivir,3.8,[H][C@]1(OC(=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO
Bosentan,5,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1
Tigecycline,35.0,[H][C@@]12CC3=C(C(O)=C(NC(=O)CNC(C)(C)C)C=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2
Methotrexate,6.5,CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
Carbamazepine,37.5,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12
Cisatracurium,0.37,COC1=CC2=C(C=C1OC)[C@@H](CC1=CC(OC)=C(OC)C=C1)[N@@+](C)(CCC(=O)OCCCCCOC(=O)CC[N@@+]1(C)CCC3=C(C=C(OC)C(OC)=C3)[C@H]1CC1=CC(OC)=C(OC)C=C1)CC2
Cephalexin,0.825,[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O
Vinblastine,19,[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@@](CC)([C@@H](OC(C)=O)[C@]2(O)C(=O)OC)[C@@]13[H])[C@]1(C[C@@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=C2C=CC=C1)C(=O)OC
Atropine,3,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1
Fenoprofen,3,CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1
Fenfluramine,20,CCNC(C)CC1=CC=CC(=C1)C(F)(F)F
Clonidine,0.5,ClC1=CC=CC(Cl)=C1NC1=NCCN1
Sulfamethizole,5.5,CC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1
Valaciclovir,2.9,CC(C)[C@H](N)C(=O)OCCOCN1C=NC2=C1NC(N)=NC2=O
Carbenicillin,1,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C(C(O)=O)C1=CC=CC=C1)C(O)=O
Enalapril,36.5,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O
Nizatidine,1.5,CNC(NCCSCC1=CSC(CN(C)C)=N1)=C[N+]([O-])=O
Fluticasone_propionate,7.8,[H][C@@]12C[C@@H](C)[C@](OC(=O)CC)(C(=O)SCF)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
Doxazosin,22,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1COC2=CC=CC=C2O1
Ethosuximide,53,CCC1(C)CC(=O)NC1=O
Amiloride,7.5,NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N
Gadoteridol,1.67,CC(O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1
Labetalol,3.9,CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1
Thiopental,5.5,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
Linezolid,6.0,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC(F)=C(C=C1)N1CCOCC1
Ivermectin,18,[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]4([H])C[C@@]([H])(C[C@]5(CC[C@H](C)[C@]([H])(O5)C(C)C)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O.
Sulindac,7.8,CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)=O
Nafcillin,0.75,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(OCC)C=CC2=CC=CC=C12)C(O)=O
Chloroquine,480,CCN(CC)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12
Ethionamide,2.5,CCC1=NC=CC(=C1)C(N)=S
Butorphanol,18,[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13O)CCN2CC1CCC1
Bisoprolol,11.0,CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1
Amodiaquine,0.1,CCN(CC)CC1=C(O)C=CC(NC2=C3C=CC(Cl)=CC3=NC=C2)=C1
Furazolidone,0.17,[O-][N+](=O)C1=CC=C(O1)\C=N\N1CCOC1=O
Rifabutin,45,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(=O)C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)=C1NC3(CCN(CC3)CC(C)C)N=C21
Paramethadione,18.0,CCC1(C)OC(=O)N(C)C1=O
Demeclocycline,13.5,[H][C@]12C[C@@]3([H])[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C(=O)C1=C([C@H]2O)C(Cl)=CC=C1O
Triamcinolone,2.7,[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
Oxandrolone,9,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)OC[C@]12C
Nicardipine,8.6,COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1
Testosterone,0.9199999999999999,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
Efavirenz,47.5,FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1
Clorazepic_acid,48,OC(=O)C1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2
Guanabenz,6,NC(N)=NN=CC1=C(Cl)C=CC=C1Cl
Clofarabine,5.2,[H][C@]1(F)[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=C(Cl)N=C12
Dexmedetomidine,2,C[C@H](C1=CNC=N1)C1=C(C)C(C)=CC=C1
Prednisone,2.5,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
Astemizole,24,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1
Adenosine,0.02,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
Simvastatin,4.85,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC
Pemetrexed,3.5,NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N1
Mebendazole,4.0,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1
Gonadorelin,0.5,CC(C)CC(NC(=O)CNC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(CO)NC(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)C(CC1=CN=CN1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NCC(N)=O
Dyclonine,0.75,CCCCOC1=CC=C(C=C1)C(=O)CCN1CCCCC1
Dextropropoxyphene,9.0,CCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](C)CN(C)C)C1=CC=CC=C1
Mitotane,432,ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=CC=C1Cl
Stavudine,1.15,CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O
Leucovorin,6.2,[H]C(=O)N1C(CNC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)NC(N)=N2
Dyphylline,2,CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O
Latanoprost,0.28,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCC1=CC=CC=C1
Estrone,19,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
Trazodone,13.6,ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1
Acamprosate,3,CC(=O)NCCCS(O)(=O)=O
Trimethobenzamide,8.0,COC1=CC(=CC(OC)=C1OC)C(=O)NCC1=CC=C(OCCN(C)C)C=C1
Nilutamide,48.55,CC1(C)NC(=O)N(C1=O)C1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F
Nafarelin,3,CC(C)C[C@H](NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O
Epinephrine,0.04,CNC[C@H](O)C1=CC(O)=C(O)C=C1
Chlorpropamide,36,CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1
Tamoxifen,132.0,CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1
Losartan,2.0,CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1
Thioridazine,23.0,CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1
Moricizine,2,CCOC(=O)NC1=CC2=C(SC3=CC=CC=C3N2C(=O)CCN2CCOCC2)C=C1
Amphotericin_B,360,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2
Tobramycin,3,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O
Trovafloxacin,10.649999999999999,[H][C@@]12CN(C[C@]1([H])[C@H]2N)C1=NC2=C(C=C1F)C(=O)C(=CN2C1=C(F)C=C(F)C=C1)C(O)=O
Pentosan_polysulfate,4.8,O[C@@H]1CO[C@@H](O[C@@H]2CO[C@@H](O)[C@H](OS(O)(=O)=O)[C@H]2OS(O)(=O)=O)[C@H](OS(O)(=O)=O)[C@H]1OS(O)(=O)=O
Fludrocortisone,2.25,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C
Mycophenolate_mofetil,17.9,COC1=C(C\C=C(/C)CCC(=O)OCCN2CCOCC2)C(O)=C2C(=O)OCC2=C1C
Flurazepam,2.3,CCN(CC)CCN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F
Moexipril,1,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=CC(OC)=C(OC)C=C2C[C@H]1C(O)=O
Phentolamine,0.32,CC1=CC=C(C=C1)N(CC1=NCCN1)C1=CC(O)=CC=C1
Daunorubicin,31.5,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(C)=O)C(O)=C1C2=O
Furosemide,4,NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O
Tizanidine,2.5,ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1
Nitrofurantoin,0.75,[O-][N+](=O)C1=CC=C(O1)\C=N\N1CC(=O)NC1=O
Eplerenone,5.0,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)C[C@H]1O[C@@]11[C@@]2([H])[C@@H](CC2=CC(=O)CC[C@]12C)C(=O)OC
Amprenavir,8.85,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1
Methazolamide,14,CN1N=C(S\C1=N\C(C)=O)S(N)(=O)=O
Naltrexone,4,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O
Delavirdine,5.8,CC(C)NC1=C(N=CC=C1)N1CCN(CC1)C(=O)C1=CC2=C(N1)C=CC(NS(C)(=O)=O)=C2
Sufentanil,2.73,CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1
Lamivudine,6.0,NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1
Ibandronate,97.0,CCCCCN(C)CCC(O)(P(O)(O)=O)P(O)(O)=O
Diethylcarbamazine,8,CCN(CC)C(=O)N1CCN(C)CC1
Flurbiprofen,5.2,CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1
Paroxetine,17.3,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1
Nedocromil,3.3,CCCC1=C2N(CC)C(=CC(=O)C2=CC2=C1OC(=CC2=O)C(O)=O)C(O)=O
Adefovir_dipivoxil,7.48,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N)N=CN=C12)OCOC(=O)C(C)(C)C
Clodronic_acid,5.6,OP(O)(=O)C(Cl)(Cl)P(O)(O)=O
Lisinopril,46.7,NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O
Imiquimod,2,CC(C)CN1C=NC2=C1C1=C(C=CC=C1)N=C2N
Trimipramine,14.5,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12
Nitroglycerin,0.05,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O
Rocuronium,0.25,[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)[C@H](C[C@]12C)N1CCOCC1)[N+]1(CC=C)CCCC1
Thiabendazole,1.2,N1C2=CC=CC=C2N=C1C1=CSC=N1
Atracurium_besylate,0.33,COC1=CC2=C(C=C1OC)C(CC1=CC(OC)=C(OC)C=C1)[N+](C)(CCC(=O)OCCCCCOC(=O)CC[N+]1(C)CCC3=C(C=C(OC)C(OC)=C3)C1CC1=CC(OC)=C(OC)C=C1)CC2
Pralidoxime,1.25,C[N+]1=C(\C=N\O)C=CC=C1
Risperidone,11.5,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1
Naftifine,60.0,CN(CC=CC1=CC=CC=C1)CC1=CC=CC2=CC=CC=C12
Esomeprazole,1.25,COC1=CC2=C(NC(=N2)[S@@](=O)CC2=NC=C(C)C(OC)=C2C)C=C1
Pentamidine,11.149999999999999,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1
Riluzole,12,NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2
Hydrocortisone,2.15,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
Mannitol,4.7,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
Gadobenic_acid,1,OC(=O)CN(CCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O)C(COCC1=CC=CC=C1)C(O)=O
Zileuton,2.5,CC(N(O)C(N)=O)C1=CC2=CC=CC=C2S1
Modafinil,119.0,NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
Etodolac,7.3,CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1
Epinastine,12,NC1=NCC2N1C1=CC=CC=C1CC1=CC=CC=C21
Tranylcypromine,2.35,NC1CC1C1=CC=CC=C1
Ethotoin,6.0,CCN1C(=O)NC(C1=O)C1=CC=CC=C1
Tretinoin,1.25,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O
Dolasetron,8.1,[H][C@@]1(C[C@@]2([H])C[C@]3([H])C[C@@]([H])(C1)N2CC3=O)OC(=O)C1=CNC2=C1C=CC=C2
Tetracycline,9.0,[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O
Meropenem,1,[H][C@]1([C@@H](C)O)C(=O)N2C(C(O)=O)=C(S[C@@H]3CN[C@@H](C3)C(=O)N(C)C)[C@H](C)[C@]12[H]
Mometasone,5.8,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
Metyrosine,3.55,C[C@](N)(CC1=CC=C(O)C=C1)C(O)=O
Clavulanic_acid,1.125,[H][C@@]12CC(=O)N1[C@@H](C(O)=O)\C(O2)=C\CO
Benzquinamide,1.3,CCN(CC)C(=O)C1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1OC(C)=O
Olopatadine,10.0,CN(C)CC\C=C1\C2=CC=CC=C2COC2=C1C=C(CC(O)=O)C=C2
Malathion,16.0,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
Etoposide,7.5,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@@H]1O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O
Hydroflumethiazide,17,NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1C(F)(F)F
Tirofiban,2,CCCCS(=O)(=O)N[C@@H](CC1=CC=C(OCCCCC2CCNCC2)C=C1)C(O)=O
Roxithromycin,12,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=NOCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O
